ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240530,66,66,F,66F,-83.73144302,32.43386654,0,1,42,SPID,211,586,6.7,720,95.2,102.7,17.66,20.76,2.75,"c(243181.2745, 3591812.8804, 0)"
240531,66,66,F,66F,-83.73144302,32.43386654,0,1,42,CID,204,561,6.6,622,55,107.4,15.33,13.32,1.87,"c(243181.2745, 3591812.8804, 0)"
240532,67,67,F,67F,-83.7304863,32.43386323,0,1,29,SPID,168,428,6.69,443,33.7,57.3,14.99,14.65,1.79,"c(243271.2473, 3591810.2114, 0)"
240533,67,67,F,67F,-83.7304863,32.43386323,0,1,29,CID,169,432,6.68,397,30.5,55,9.46,13.06,1.36,"c(243271.2473, 3591810.2114, 0)"
240534,68,68,F,68F,-83.72952959,32.43385991,0,1,34,SPID,133,300,6.38,431,43.2,34.9,15.95,17.12,2.43,"c(243361.2199, 3591807.5424, 0)"
240535,68,68,F,68F,-83.72952959,32.43385991,0,1,34,CID,138,318,6.36,406,37.4,49.1,17.25,15.13,1.55,"c(243361.2199, 3591807.5424, 0)"
240536,69,69,F,69F,-83.72857288,32.43385659,0,1,23,SPID,153,373,5.99,360,29.9,45.5,15.47,11.33,2.11,"c(243451.1925, 3591804.8734, 0)"
240537,69,69,F,69F,-83.72857288,32.43385659,0,1,23,CID,169,432,6.04,279,31.3,32.1,10.55,15.83,1.43,"c(243451.1925, 3591804.8734, 0)"
240538,70,70,F,70F,-83.72761617,32.43385326,0,1,12,SPID,171,439,6.16,275,36,58,10.62,6.21,1.16,"c(243541.1651, 3591802.2044, 0)"
240539,70,70,F,70F,-83.72761617,32.43385326,0,1,12,CID,157,388,6.06,289,39.1,54.2,11.36,4.45,1.08,"c(243541.1651, 3591802.2044, 0)"
240540,71,71,F,71F,-83.72665946,32.43384992,0,1,16,SPID,218,612,5.09,267,115.1,88.2,13.82,8.17,1.45,"c(243631.1376, 3591799.5353, 0)"
240541,71,71,F,71F,-83.72665946,32.43384992,0,1,16,CID,181,476,5.38,204,72.7,47.9,8.19,4.29,0.53,"c(243631.1376, 3591799.5353, 0)"
240542,72,72,F,72F,-83.72570275,32.43384657,0,1,36,SPID,186,495,5.48,349,43.6,33.4,14.19,17.88,2.63,"c(243721.11, 3591796.8663, 0)"
240543,72,72,F,72F,-83.72570275,32.43384657,0,1,36,CID,174,450,5.56,294,43.1,32,12.54,17.16,2.25,"c(243721.11, 3591796.8663, 0)"
240544,73,73,F,73F,-83.72474604,32.43384322,0,1,8,SPID,199,542,5.59,262,78.5,54.9,13.28,4.22,0.47,"c(243811.0824, 3591794.1973, 0)"
240545,73,73,F,73F,-83.72474604,32.43384322,0,1,8,CID,101,183,5.29,214,56.5,34.8,11.61,3.2,0.56,"c(243811.0824, 3591794.1973, 0)"
240546,74,74,F,74F,-83.72378933,32.43383986,0,1,35,SPID,217,608,5.24,251,56,26.2,23.11,17.42,2.32,"c(243901.0547, 3591791.5283, 0)"
240547,74,74,F,74F,-83.72378933,32.43383986,0,1,35,CID,207,572,5.22,253,43.3,22.4,19.41,23.39,2.33,"c(243901.0547, 3591791.5283, 0)"
240548,75,75,F,75F,-83.72283262,32.43383649,0,1,10,SPID,112,223,5.48,131,10.8,14,7.03,5.1,1.01,"c(243991.0269, 3591788.8593, 0)"
240549,75,75,F,75F,-83.72283262,32.43383649,0,1,10,CID,121,256,5.91,190,17.7,29.8,6.48,6.92,1.06,"c(243991.0269, 3591788.8593, 0)"
240550,76,76,G,76G,-83.73623043,32.43307162,0,1,22,SPID,200,546,5.97,405,36.9,28.9,20.6,11.1,1.43,"c(242728.741, 3591736.2525, 0)"
240551,76,76,G,76G,-83.73623043,32.43307162,0,1,22,CID,184,487,6.09,409,46.9,46.9,21.37,14.26,1.43,"c(242728.741, 3591736.2525, 0)"
240552,77,77,G,77G,-83.73527373,32.43306835,0,1,22,SPID,207,572,6.1,407,60.4,45.2,23.69,11.03,2.03,"c(242818.714, 3591733.5836, 0)"
