Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
43,250437,Ap,Probe,,0-31,31,Ab,10YR4/2,5.92,83.4,10.68,LS,,LS,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,0
43,250438,BE,Probe,,31-63,32,C,10YR5/4,27.8,53.7,18.5,SCL,,SL,,1MSBK,,,4/16/2025,,,,,,,,,,,,,,Yes,0
43,250439,Bt1,Probe/Auger,,63-93,30,C,10YR5/6,17.2,68.9,13.9,SL,,SL,,1MSBK,,"10YR5/8 plinthite, common (3%). org stains. root channel depletions.",4/16/2025,,,,Yes,,,,,,,,,,,0
43,250440,Bt2,Auger,,93-112,19,C,10YR6/4,11.3,76.8,11.9,SL,,SL,,2MSBK,,"10YR5/8 iron concentrations, common(5%)",4/16/2025,,,,,Yes,,,,,,,,,,0
43,250441,Btg,Auger,,112-150+,38,,2.5Y7/2,11.6,75.9,12.5,SL,,LS,,2MSBK,,"10YR5/8 soft iron masses. 5Y7/2 white depletions, many.",4/16/2025,,,,Yes,,,,,,,,,,,0
45,250442,Ap1,Probe,,0-19,,C,7.5YR4/3,7.06,83.2,9.74,LS,,,,1MGr,,many F/VF roots,4/17/2025,,,,,,,,,,,,,,,0
45,250443,Ap2,Probe,,19-35,,Ab,7.5YR4/4,15.6,75,9.4,SL,,,,1CoGr,,somewhat blocky... large biopores. VF roots common. ,4/17/2025,,,,,,,,,,,,,,,0
45,250444,Bt1,Probe,,35-66,,Gr,2.5YR3/6,69,25.6,5.4,C,,,,2CoSBK,,,4/17/2025,,,,,,,,,,,,,,,0
45,250445,Bt2,Probe/Auger,,66-115,,Gr,2.5YR3/6,99.466667,0.43,0.1033333,C,,,,2CoSBK,,,4/17/2025,,,,,,,,,,,,,,,0
45,250446,Bt3,Auger,,115-150+,,,2.5YR3/6,84.6,13.75,1.65,C,,,,2CoSBK,,rounded ironstone.,4/17/2025,,,,,,,,,,,,,,,0
46,250447,Ap,Probe,,0-18,18,Ab,7.5YR4/3,14.2,76.6,9.2,SL,,,,1MGr,,,4/17/2025,,,,,,,,,,,,,,,0
46,250448,BA,Probe,,18-34,16,Ab,5YR4/6,6.02,91.4,2.58,S,,,,1MSBK,,,4/17/2025,,,,,,,,,,,,Yes,,,0
46,250449,Bt1,Probe,,34-87,53,Gr,2.5YR3/6,86.25,11.36,2.39,C,,,,2MSBK,,org stains,4/17/2025,,,,,,,,,,,,,,,0
46,250450,Bt2,Probe/Auger,,87-150+,63,,2.5YR3/6,100,0,0,C,,,,2CoSBK,,,4/17/2025,,,,,,,,,,,,,,,0
52,250451,Ap1,Probe,Candor,0-8,8,C,10YR4/2,5.96,83.3,10.74,LS,,LS,,,,,4/16/2025,,,,,,,,,,,,,,,0
52,250452,Ap2,Probe,Candor,31-Aug,23,C,10YR4/2,5.87,83.4,10.73,LS,,LS,,,,org stains,4/16/2025,,,,,,,,,,,,,,,0
52,250453,AE,Probe,Candor,31-52,21,C,10YR4/3,7.8,80.3,11.9,LS,,LS,,,,org stains,4/16/2025,,,,,,,,,,,Yes,,,,0
52,250454,E1,Probe,Candor,52-74,22,C,7.5YR5/6,8.86,78.2,12.94,SL,,LS,,,,org stains,4/16/2025,,,,,,,,,,,,,,,0
52,250455,E2,Probe,Candor,74-98,24,C,7.5YR6/6,6.91,81.3,11.79,LS,,LS,,,,uncoated grains common,4/16/2025,,,,,,,,,,,,,,,0
52,250456,E3,Probe/Auger,Candor,98-140,42,Gr,7.5YR7/4,5.23,85.6,9.17,LS,,S,,,,"many uncoated sand grains, 7.5YR7/2.",4/16/2025,,,,,,,,,,,,,,,0
52,250457,Bt,Auger,Candor,140-190,50,C,10YR5/8,10.4,78.7,10.9,SL,,SL,,,,"clean sand 25%. 2.5YR6/3 depletions.7.5YR4/6 plinthite, few.",4/16/2025,,,,Yes,,,,,,,,,,,0
52,250458,Btv,Auger,Candor,190-213+,23,,10YR6/6,9.1,81.8,9.1,LS,,SL,,,,"7.5YR4/6 plinthite, 12%. free water.",4/16/2025,,,,,,,,Yes,,,,,,,0
8,250459,Ap,Probe,,0-21,21,C,10YR4/3,4.76,87.5,7.74,S,,,,1MGr,,VF roots,4/30/2025,,,,,,,,,,,,,,,1
8,250460,BE,Probe,,21-45,24,Gr,10YR5/6,9.09,77.9,13.01,SL,,,,1MSBK,,VF roots,4/30/2025,,,,,,,,,,,,,,Yes,1
8,250461,Bt,Probe/Auger,,45-116,71,Gr,7.5YR5/6,16.3,71.1,12.6,SL,,,,1MSBK,,,4/30/2025,,,,,,,,,,,,,,,1
8,250462,Btv,Auger,,116-150+,34,,10YR7/6,26,62.2,11.8,SCL,,,,1MSBK,,"plinthite, common, 7.5YR5/8, 10% is 2.5YR4/8. Clean sand and large alluvial rounded quartz",4/30/2025,158,,,,,,,Yes,,,,,,,1
49,250463,^Ap,Probe,,0-29,29,C,10YR4/4,5.52,84.1,10.38,LS,,,,1MGr,,,4/30/2025,,,,,,Yes,,,,,,,,,0
49,250464,^C1,Probe,,29-43,14,C,7.5YR3/3,14.8,69.9,15.3,SL,,,,SLSMA,,org stains,4/30/2025,,,,,,Yes,,,,,,,,,0
49,250465,^C2,Probe,,43-67,24,C,5YR4/6,30.3,56.3,13.4,SCL,,,,SLSMA,,"many charcoal, 20%",4/30/2025,,,Yes,,,Yes,,,,,,,,,0
49,250466,^C3,Probe,,67-103,36,Gr,7.5YR4/4,31.9,53.9,14.2,SCL,,,,SLSMA,,"few charcoal, 5%",4/30/2025,,,Yes,,,Yes,,,,,,,,,0
49,250467,Bt,Probe/Auger,,103-150+,47,,2.5YR4/6,96.2,3.145,0.655,C,,,,2CoSBK,,,4/30/2025,,,,,,,,,,,,,,,0
17,250468,Ap,Probe,,0-18,18,C,10YR4/3,4.07,89.1,6.83,S,,,,1MGr,,,4/30/2025,,,,,,,,,,,,,,,1
17,250469,BA,Probe,,18-29,11,C,7.5YR4/4,13.8,74.4,11.8,SL,,,,1MSBK,,,4/30/2025,,,,,,,,,,,,Yes,,,1
17,250470,Bt1,Probe,,29-77,48,Gr,7.5YR4/6,14.9,72.2,12.9,SL,,,,1MSBK,,root channels and stripped root pores,4/30/2025,,,,,,,,,,,,,,,1
17,250471,Bt2,Probe/Auger,,77-116,39,Gr,5YR4/6,37.5,54.6,7.9,SC,,,,1MSBK,,,4/30/2025,,,,,,,,,,,,,,,1
17,250472,Bt3,Auger,,116-150+,34,,5YR5/8,22.4,69.6,8,SCL,,,,1MSBK,,,4/30/2025,,,,,,,,,,,,,,,1
48,250473,Ap,Probe,,0-11,11,C,10YR3/3,21.5,62.3,16.2,SCL,,,,,VFR,,4/30/2025,,,,,,,,,,,,,,,0
48,250474,^C1,Probe,,Nov-39,28,A,2.5YR3/4,34.5,48.5,17,SCL,,,,,F,"organic stains, 75% red, 25% 7.5YR 3/2",4/30/2025,,,,,,Yes,,,,,,,,,0
48,250475,^C2,Probe,,39-60,21,A,2.5YR3/6,74,19.2,6.8,C,,,,,EF,compacted,4/30/2025,,,,,,Yes,,,,,,,,,0
48,250476,^C3,Probe,,60-78,18,A,2.5YR3/6,82.6,11.9,5.5,C,,,,,,"ironstone,charcoal, organic stains, 2.5YR 3/3 many ",4/30/2025,,,Yes,,,Yes,,,,,,,,,0
48,250477,Bt1,Probe/Auger,,78-100,22,Gr,2.5YR4/6,98.15,1.405,0.445,C,,,,,EF,Compacted,4/30/2025,,,,,,,,,,,,,,,0
48,250478,Bt2,Auger,,100-150,50,,2.5YR4/6,94.25,5.2,0.55,C,,,,,F,,4/30/2025,,,,,,,,,,,,,,,0
